date,year,severity_label,road_type_label,area_label,hour
2019-01-01 00:00:00.000000000,2019,Serious,Dual carriageway,Rural,2
2019-01-01 04:22:49.576957695,2019,Slight,Dual carriageway,Rural,8
2019-01-01 08:45:39.153915391,2019,Serious,Single carriageway,Urban,17
2019-01-01 13:08:28.730873087,2019,Slight,Single carriageway,Urban,10
2019-01-01 17:31:18.307830783,2019,Slight,Single carriageway,Urban,4
2019-01-01 21:54:07.884788478,2019,Fatal,Single carriageway,Urban,23
2019-01-02 02:16:57.461746174,2019,Serious,Single carriageway,Urban,4
2019-01-02 06:39:47.038703870,2019,Serious,One way street,Urban,2
2019-01-02 11:02:36.615661566,2019,Slight,Single carriageway,Rural,9
2019-01-02 15:25:26.192619261,2019,Slight,Single carriageway,Urban,2
2019-01-02 19:48:15.769576957,2019,Slight,Dual carriageway,Urban,14
2019-01-03 00:11:05.346534653,2019,Serious,Single carriageway,Rural,10
2019-01-03 04:33:54.923492349,2019,Slight,Single carriageway,Urban,22
2019-01-03 08:56:44.500450045,2019,Serious,Single carriageway,Urban,4
2019-01-03 13:19:34.077407740,2019,Slight,One way street,Urban,6
2019-01-03 17:42:23.654365436,2019,Slight,Single carriageway,Urban,16
2019-01-03 22:05:13.231323132,2019,Slight,Dual carriageway,Urban,16
2019-01-04 02:28:02.808280828,2019,Slight,Dual carriageway,Urban,8
2019-01-04 06:50:52.385238523,2019,Serious,Single carriageway,Rural,22
2019-01-04 11:13:41.962196219,2019,Slight,Dual carriageway,Urban,20
2019-01-04 15:36:31.539153915,2019,Serious,Single carriageway,Rural,14
2019-01-04 19:59:21.116111611,2019,Slight,Single carriageway,Rural,17
2019-01-05 00:22:10.693069306,2019,Fatal,Single carriageway,Urban,12
2019-01-05 04:45:00.270027002,2019,Serious,One way street,Urban,11
2019-01-05 09:07:49.846984698,2019,Serious,Single carriageway,Rural,13
2019-01-05 13:30:39.423942394,2019,Slight,Single carriageway,Urban,20
2019-01-05 17:53:29.000900090,2019,Slight,One way street,Urban,0
2019-01-05 22:16:18.577857785,2019,Slight,Single carriageway,Urban,2
2019-01-06 02:39:08.154815481,2019,Slight,Roundabout,Rural,11
2019-01-06 07:01:57.731773177,2019,Slight,Dual carriageway,Urban,13
2019-01-06 11:24:47.308730873,2019,Slight,Single carriageway,Urban,4
2019-01-06 15:47:36.885688568,2019,Fatal,Dual carriageway,Urban,14
2019-01-06 20:10:26.462646264,2019,Slight,Dual carriageway,Rural,0
2019-01-07 00:33:16.039603960,2019,Slight,Single carriageway,Urban,5
2019-01-07 04:56:05.616561656,2019,Slight,One way street,Rural,11
2019-01-07 09:18:55.193519351,2019,Slight,One way street,Urban,1
2019-01-07 13:41:44.770477047,2019,Slight,Roundabout,Urban,15
2019-01-07 18:04:34.347434743,2019,Slight,Dual carriageway,Urban,12
2019-01-07 22:27:23.924392439,2019,Slight,Single carriageway,Urban,13
2019-01-08 02:50:13.501350135,2019,Slight,Single carriageway,Urban,12
2019-01-08 07:13:03.078307830,2019,Slight,Single carriageway,Rural,16
2019-01-08 11:35:52.655265526,2019,Serious,Single carriageway,Urban,15
2019-01-08 15:58:42.232223222,2019,Slight,Dual carriageway,Rural,15
2019-01-08 20:21:31.809180918,2019,Slight,Dual carriageway,Urban,5
2019-01-09 00:44:21.386138613,2019,Serious,Single carriageway,Urban,16
2019-01-09 05:07:10.963096309,2019,Serious,Single carriageway,Urban,4
2019-01-09 09:30:00.540054005,2019,Slight,Dual carriageway,Rural,0
2019-01-09 13:52:50.117011701,2019,Slight,Single carriageway,Urban,23
2019-01-09 18:15:39.693969397,2019,Slight,One way street,Urban,4
2019-01-09 22:38:29.270927092,2019,Slight,Dual carriageway,Urban,2
2019-01-10 03:01:18.847884788,2019,Slight,Single carriageway,Urban,7
2019-01-10 07:24:08.424842484,2019,Slight,Single carriageway,Urban,23
2019-01-10 11:46:58.001800180,2019,Serious,Dual carriageway,Rural,20
2019-01-10 16:09:47.578757875,2019,Slight,Single carriageway,Urban,17
2019-01-10 20:32:37.155715571,2019,Slight,Roundabout,Rural,4
2019-01-11 00:55:26.732673267,2019,Serious,Single carriageway,Urban,15
2019-01-11 05:18:16.309630963,2019,Slight,Single carriageway,Rural,19
2019-01-11 09:41:05.886588658,2019,Slight,Single carriageway,Rural,8
2019-01-11 14:03:55.463546354,2019,Slight,Dual carriageway,Urban,6
2019-01-11 18:26:45.040504050,2019,Slight,One way street,Rural,20
2019-01-11 22:49:34.617461746,2019,Slight,Roundabout,Rural,3
2019-01-12 03:12:24.194419442,2019,Slight,Single carriageway,Urban,21
2019-01-12 07:35:13.771377137,2019,Slight,Roundabout,Urban,11
2019-01-12 11:58:03.348334833,2019,Serious,Single carriageway,Urban,17
2019-01-12 16:20:52.925292529,2019,Slight,Single carriageway,Urban,8
2019-01-12 20:43:42.502250225,2019,Slight,One way street,Urban,17
2019-01-13 01:06:32.079207920,2019,Slight,Single carriageway,Urban,22
2019-01-13 05:29:21.656165616,2019,Slight,One way street,Rural,11
2019-01-13 09:52:11.233123312,2019,Slight,Single carriageway,Urban,5
2019-01-13 14:15:00.810081008,2019,Slight,Single carriageway,Urban,1
2019-01-13 18:37:50.387038703,2019,Slight,Single carriageway,Urban,22
2019-01-13 23:00:39.963996399,2019,Slight,One way street,Rural,23
2019-01-14 03:23:29.540954095,2019,Serious,Single carriageway,Urban,15
2019-01-14 07:46:19.117911791,2019,Slight,Roundabout,Urban,0
2019-01-14 12:09:08.694869487,2019,Slight,Single carriageway,Urban,21
2019-01-14 16:31:58.271827182,2019,Slight,Dual carriageway,Rural,11
2019-01-14 20:54:47.848784878,2019,Slight,Single carriageway,Urban,5
2019-01-15 01:17:37.425742574,2019,Slight,Single carriageway,Urban,8
2019-01-15 05:40:27.002700270,2019,Slight,Dual carriageway,Urban,22
2019-01-15 10:03:16.579657965,2019,Serious,Dual carriageway,Urban,18
2019-01-15 14:26:06.156615661,2019,Slight,Single carriageway,Rural,14
2019-01-15 18:48:55.733573357,2019,Slight,Single carriageway,Urban,17
2019-01-15 23:11:45.310531053,2019,Serious,Single carriageway,Rural,20
2019-01-16 03:34:34.887488748,2019,Slight,One way street,Urban,15
2019-01-16 07:57:24.464446444,2019,Slight,Dual carriageway,Rural,7
2019-01-16 12:20:14.041404140,2019,Slight,Roundabout,Urban,1
2019-01-16 16:43:03.618361836,2019,Slight,Dual carriageway,Rural,2
2019-01-16 21:05:53.195319532,2019,Slight,Roundabout,Urban,5
2019-01-17 01:28:42.772277227,2019,Slight,Single carriageway,Urban,18
2019-01-17 05:51:32.349234923,2019,Slight,Single carriageway,Urban,2
2019-01-17 10:14:21.926192619,2019,Slight,Dual carriageway,Rural,3
2019-01-17 14:37:11.503150315,2019,Slight,Single carriageway,Rural,23
2019-01-17 19:00:01.080108010,2019,Slight,Single carriageway,Urban,9
2019-01-17 23:22:50.657065706,2019,Slight,Dual carriageway,Urban,3
